nco_code,occupation_title,job_description,volume,pdf_page,column
2111.0500,"Physicist, Sound","Performs basic tasks similar to Physicist General, conducts studies and experiments for recording frequency, amplitude and compression of sound waves, using amplitude detector, frequency modulation detector, amplifiers, automatic recorders. Analyses data and evolves scientific theories for designing delicate sound recording and propagating instruments, vibration recorders, musical instruments etc.",II-A,78,1
2111.0800,"Physicist, Nuclear","Performs basic tasks similar to Physicist General, conducts research and studies in atomic fields such as nuclear structure and disintegration, measurements and separation of isotopes (elements having very similar chemical and physical properties but slightly different in atomic weights), generation of high velocity particles and X-Ray crystallography. Analyses observations and data and evolves theories and designs for nuclear generation of power, fission and fusion of atoms, medical use and other purposes.",II-A,79,1
2111.0900,Astronomer,"Observes celestial bodies with telescopes fitted with complex devices such as spectroscopes, photometers, bolometers and other photography and radiation-recording instruments and records observations. Computes position and orbits of stars, planets, comets and asteroids. Takes photographs of sun in calcium and hydrogen lights to locate sun spots and eruption. Interprets data regarding size, composition, position, temperature etc. of planets and other heavenly bodies at given times to be used by air and sea navigators. Publishes results of observations and solar prominences, dark marking and other phenomena. Sends periodical messages to research centres regarding solar and geomagnetic observations, behaviour and other phenomena of sun and moon during particular periods (International geophysical year). May undertake research in special fields.",II-A,79,2
2111.9900,"Physicists and Astronomers, Other","include all other physicists and astronomers working in other fields of physics and astronomy such as those engaged in controlling, testing and analysing physical and astronomical properties or in developing experimental, testing and recording equipment, not elsewhere classified.",II-A,80,2
2112.9900,"Meteorologists, Other","include meteorologists who conduct research, improve or develop concepts, theories and operational methods related to the composition, structure and dynamics of the atmosphere, and prepare detailed or long term weather forecasts used in aviation, shipping, agriculture and other areas and for the information of general public not elsewhere classified.",II-A,81,2
2113.0300,"Chemist, Inorganic","Performs basic tasks like Chemist General utilizing chemical processes according to nature of test or experiment such as distillation, evaporation, filtration, detection of cations and anions (positive and negative ions), and salt analysis. Assesses results to find different constituents of compounds and solutions, their strength, optical activity etc., for sampling, to develop new compounds, improve production procedures or increase technical knowledge in the research field.",II-A,82,2
2113.0400,"Chemist, Physical","Performs basic tasks similar to Chemist General using instruments and apparatus such as sensitive balances, spectroscope, microscope, X-Ray, pressure and temperature measuring devices, depending upon type of test or experiment. Analyses readings and assesses results by applying principles of electro-chemistry, thermodynamics periodic classification of elements, atomic theory, chromatography (Qualitative and quantitative measurements of ions) to determine physical and chemical properties, atomic weight, atomic structure, pH value, radio activity, relationship in periodic classification table, characteristics, reaction at different temperature and pressures fission and fusion of atoms, change of state of solid, liquid and gases etc., for advancement of research knowledge and for improvement of production processes.",II-A,83,1
2113.0500,"Chemist, Analytical","Performs basic tasks like Chemist General using instruments, apparatus and standard reagents in the laboratory such as spectroscope, pressure and temperature recording devices, desiccators, balances, acids, alkalize, and standard solution indicators to determine composition, strength or conformity with prescribed standards to ascertain presence or absence of a particular element. Analyses findings and submits report to medical or other authorities. May do statistical interpretation of observations.",II-A,83,2
2113.0601,Quality Control Chemist,"Also responsible for testing of in-process/input raw materials and packing materials, in-process samples apart from finished products. Also responsible for testing of process validation samples, product stability samples and cleaning validation samples (Rinse samples/Swab samples etc.)",II-A,84,1
2113.0622,Lab Chemist-Incoming raw material,testing Lab Chemist-Incoming raw material testing carries out of tests of incoming raw materials used for preparation of rubber compound as per laid down methods and specifications.,II-A,84,2
2113.0624,Lab Chemist-Cured compound,testing Lab Chemist-Cured compound testing carries out testing for the cured compound as per laid down methods and specifications.,II-A,85,1
2113.9900,"Chemists, Other","perform laboratory tests, analysis and experiments such as those engaged in agricultural chemistry, geochemistry, etc., not elsewhere classified.",II-A,86,1
2114.0300,Palaeontologist,"Visits different areas and studies earth and rock formations, nature of soil, etc. Collects fossilized specimens from geological formations using special tools such as hammer, sickle, etc. and classifies them according to botanical and zoological families and probable age. Prepares treatises on findings giving evaluation of life, formation of earth and sea and other geological data to aid location of natural resources such as petroleum bearing formations or coal. May maintain fossil specimens as museum exhibits. ay also study plant fossils.",II-A,87,1
2114.0600,Mineralogist,determine their composition. Does chemical analysis of minerals and renders advice on economic exploitation of mineral deposits.,II-A,88,1
2114.0800,Oceanographer,"Makes oceanic explorations to gather data on configuration and nature of ocean bed and such phenomena as tides, currents and icebergs. Makes chemical analysis of bottom mud and seawater at various depths. Maps deposition of sand on beaches. Studies and summaries exploration data to develop a comprehensive and unified picture of oceanic behaviour.",II-A,88,2
