nco_code,occupation_title,task_number,task,volume,pdf_page
1324.0700,"Traffic Inspector, Tram",2,Checks Conductor's memo by field inspection to ensure running of tram at scheduled time.,II-A,59
1324.0700,"Traffic Inspector, Tram",3,Tallies tickets sold with recorded entry and tickets held by passengers travelling in trams to check and avoid over payment of fares or over travelling by passengers.,II-A,59
1324.0700,"Traffic Inspector, Tram",4,Reports complaints of poor service to higher authorities for action.,II-A,59
1324.0700,"Traffic Inspector, Tram",5,Visits accident or breakdown sites and arranges to clear line to restore normal traffic.,II-A,59
1324.0700,"Traffic Inspector, Tram",6,Provides first aid to injured persons.,II-A,59
1324.0700,"Traffic Inspector, Tram",7,Observes performance of Conductors and reports any irregularity noticed to higher authorities.,II-A,59
1324.0700,"Traffic Inspector, Tram",8,Maintains statistics of passengers travelling in tram cars and suggests improvement in schedule to divisional authorities.,II-A,59
1324.1100,"Traffic Officer, Air Service/Traffic",1,Guides passengers in and out of aircraft and arranges for the transport of their luggage to and from the aircraft.,II-A,61
1324.1100,"Traffic Officer, Air Service/Traffic",2,"Stows cargoes into aircraft according to size, weight, type and destination as indicated in general loading instructions.",II-A,61
1324.1100,"Traffic Officer, Air Service/Traffic",3,Checks number of passengers aboard with the list available with the Airhostess or Steward.,II-A,61
1324.1100,"Traffic Officer, Air Service/Traffic",4,Ensures that the doors of the aircraft are properly closed before signal is given to Pilot for take-off.,II-A,61
1324.1100,"Traffic Officer, Air Service/Traffic",5,"supervises proper parking, housing and picketing of aircraft with the engineering staff.",II-A,61
1324.1100,"Traffic Officer, Air Service/Traffic",6,May operate teletype to send reports of passengers and cargo to next port of call.,II-A,61
1324.1100,"Traffic Officer, Air Service/Traffic",7,May arrange for the transportation of passengers to and from the airport.,II-A,61
1324.1300,"Goods Supervisor, Railway",1,Inspects goods booked for proper packing and checks contents with sender's declaration.,II-A,62
1324.1300,"Goods Supervisor, Railway",2,Checks adequacy of storage facilities for goods received.,II-A,62
1324.1300,"Goods Supervisor, Railway",3,Directs loading of goods in waggons as instructed by Traffic Controller based on availability of clearance at other stations.,II-A,62
1324.1300,"Goods Supervisor, Railway",4,Allots platforms for loading and unloading of goods to ensure speedy movement of waggons and minimise delays.,II-A,62
1324.1300,"Goods Supervisor, Railway",5,"Ensures compliance with necessary precautionary measures for loading and unloading explosives, inflammable, and like materials.",II-A,62
1324.1300,"Goods Supervisor, Railway",6,Arranges for the delivery of goods to consignee against authorisations.,II-A,62
1324.1300,"Goods Supervisor, Railway",7,"Examines complaints and reports cases of thefts, shortages, losses, etc. to higher authorities for investigation.",II-A,62
1324.1300,"Goods Supervisor, Railway",8,May issue receipts for goods received and payments made.,II-A,62
1324.1300,"Goods Supervisor, Railway",9,May conduct loading and unloading operations.,II-A,62
1324.1800,"Depot Starter, Tram",1,"prepares allocation statement showing route, route symbol and vehicles assigned.",II-A,64
1324.1800,"Depot Starter, Tram",2,"Maintains daily duty rotation board, weekly offs, leave and absentee statements of Tram Conductors and Drivers, arranges substitutes for absentees and forwards attendance statement to Time Keeper.",II-A,64
1324.1800,"Depot Starter, Tram",3,Assigns Drivers and Conductors for duty to appropriate vehicles according to requirements of each vehicle.,II-A,64
1324.1800,"Depot Starter, Tram",4,"plan and ensures that vehicles turn out from depot at scheduled time and display appropriate route, route symbol and destination boards.",II-A,64
1324.1800,"Depot Starter, Tram",5,Rearranges services during peak hours and periods of traffic congestion under instruction from higher authorities.,II-A,64
1324.1800,"Depot Starter, Tram",6,"Submits reports of vehicles turned out, routes covered, etc.",II-A,64
1324.1800,"Depot Starter, Tram",7,"Takes charge of lost items handed over by Conductors, Drivers or passengers and forwards them to lost property office at the headquarter.",II-A,64
1324.1800,"Depot Starter, Tram",8,May take special measures during disturbances or abnormal conditions.,II-A,64
1324.1900,"Section Controller, Railway",1,Controls movement of rail traffic within his territorial jurisdiction by constant telephonic contact with stations and on the basis of information received regarding movement of trains and rolling stock at different stations.,II-A,64
1324.1900,"Section Controller, Railway",2,"Co-ordinates crossing of trains within his section with adjoining divisions and railways, according to time-table.",II-A,64
1324.1900,"Section Controller, Railway",3,Obtains full utilisation of waggons by adjusting supply and demand of waggons at different stations and controlling formation of trains at marshalling yard accordingly.,II-A,64
1324.1900,"Section Controller, Railway",4,"Re- schedules rolling stock, transhipment, etc. in case of accidents and breakdowns.",II-A,64
1324.1900,"Section Controller, Railway",5,Maintains charts of running trains and ensures receipt and submission of prescribed reports and returns.,II-A,64
1324.1900,"Section Controller, Railway",6,May recommend changes in time table in accordance with public request and requirement.,II-A,64
1324.2100,"General Manager, Transport",1,"supervises, co-ordinates and controls, within authority delegated, efficient utilization of men, money and material in public or private organizations or establishments, or one or more of its departments, branches or sections, engaged in transporting passengers and freight by railways, tramways, buses, trucks, taxis, rickshaws, boats, launchers, ships, aircrafts and other means of transport, and operating services incidental to transport.",II-A,65
1324.2200,"General Manager, Storage and",1,"supervises, co-ordinates and controls within authority delegated, public or private organizations or establishments or one or more of its departments, branches or sections engaged in providing storage and warehouse facilities to parties concerned and render such other additional facilities as may be laid down or agreed to in business terms and conditions.",II-A,65
1324.9900,"Supply, Distribution and Related",1,"includes managers engaged in Transport, Storage and Communication, not elsewhere classified.",II-A,65
1330.0101,Communication Analyst,1,"is responsible for communication materials supporting product development, programme delivery and client services.",II-A,66
1330.0300,Post Master,1,Maintains counters to facilitate service provided to public.,II-A,67
1330.0300,Post Master,2,"Displays relevant postal rules and regulations and publicizes sales of special and commemorative stamp issues, Government bonds, etc.",II-A,67
1330.0300,Post Master,3,"Controls sale of postage envelopes, stamps and other postal stationery and checks timely collection and delivery of letters, money orders, etc. within area prescribed.",II-A,67
1330.0300,Post Master,4,"Checks cash book amounts, Saving Bank accounts and other prescribed records.",II-A,67
1330.0300,Post Master,5,Renders accounts to audit office relating to his office and sub-offices.,II-A,67
1330.0300,Post Master,6,Disburses pay and allowance to all categories of staff working under him in post office or branch offices.,II-A,67
1330.0300,Post Master,7,"May supervise functions of telegraph office, if attached to post office.",II-A,67
1330.0300,Post Master,8,May keep cash and valuables in joint custody with Treasurer.,II-A,67
1330.0701,Cluster Manager,1,"Ensure optimum utilization of resources; efficiency in reducing energy and other operational costs, delight customer by ensuring high up-time per mobile tower is maintained; adherence to compliance/performance parameters, technical and safety training of team and a holistic technical approach towards the entire infrastructure present at cell sites/mobile towers.",II-A,67
1345.0100,Headmaster,1,Develops and evaluates educational programmes to ensure conformance to state and school board standards.,II-A,69
1345.0100,Headmaster,2,"Develops and co-ordinates educational programmes through meetings with staff, review of teachers' activities, and issuance of directives.",II-A,69
1345.0100,Headmaster,3,"Confers with teachers, students, and parents concerning educational and behavioural problems in school.",II-A,69
1345.0100,Headmaster,4,"maintains relationships with colleges, community organizations, and other schools to co-ordinate educational services.",II-A,69
1345.0100,Headmaster,5,"Requisitions and allocates supplies, equipment, and instructional material as needed.",II-A,69
1345.0100,Headmaster,6,"Directs preparation of class schedules, cumulative records, and attendance reports.",II-A,69
1345.0100,Headmaster,7,Observes and evaluates teacher performance. interviews and hires teachers.,II-A,69
1345.0100,Headmaster,8,Walks about school buildings and property to monitor safety and security.,II-A,69
1345.0100,Headmaster,9,Plans and monitors school budget.,II-A,69
1345.0100,Headmaster,10,May plan and direct building maintenance.,II-A,69
1345.0100,Headmaster,11,May develop and administer educational programmes for students with mental or physical handicaps.,II-A,69
1346.0100,"Manager, Bank",1,"organizes, controls and supervises, within authority delegated, activities of private or public bank or one or more of its departments or branches.",II-A,69
1346.9900,Financial and Insurance Service,1,"include managers engaged in business services, not elsewhere classified.",II-A,70
1411.0100,"Manager, Lodging and Catering",1,"organizes and supervises, within authority delegated, efficient utilisation of men, money and material in public or private organizations or establishments, or one or more of its departments or branches, engaged in preparing and serving food, drinks and beverages and providing lodging and camping facilities to public.",II-A,71
1411.9900,"Hotel Managers, Others",1,"include Managers engaged both in restaurants and hotels, not elsewhere classified.",II-A,71
